title	description	Authors	Source	Publication Month	Publication Day	Publication Year
"\"98, secrets d'une victoire\" : les meilleurs moments des Bleus"	JT 20H - Les Bleus nous ont offert notre seule victoire en Coupe du monde en 1998. Suivez les coulisses de ces moments forts ce dimanche 10 juin 2018 sur TF1.  Vingt ans après, les héros de la Coupe du monde 98 se sont retrouvés un soir d'hiver à Paris, à quelques jours du coup d'envoi de l'édition 2018. Les revoilà de nouveau réunis par la magie d'un film documentaire qui retrace cette épopée victorieuse. Les vingt-deux joueurs, champions du monde, se sont confiés pour la première fois dans ces 105 minutes de rires, de larmes et d'émotions. Un film signé Grégoire Margotton et Nicolas Glimois. Ce sujet a été diffusé dans le journal télévisé de 20H du 10/06/2018 présenté par Anne-Claire Coudray sur TF1. Vous retrouverez au programme du JT de 20H du 10 juin 2018 des reportages sur l’actualité politique économique, internationale et culturelle, des analyses et rebonds sur les principaux thèmes du jour, des sujets en régions ainsi que des enquêtes sur les sujets qui concernent le quotidien des Français.	""	TF1	6	10	2018
"\"Acte 3\" des Gilets jaunes : comment maintenir l'ordre sur les Champs-Élysées ?"	"L'essentiel JT 20H - Georges Brenier, spécialiste police-justice de TF1, est intervenu sur notre plateau pour parler des mesures de sécurité prévues aux Champs-Élysées pour le samedi 1er décembre 2018.  Le gouvernement compte entreprendre des mesures afin que les violences du samedi 24 novembre ne se reproduisent pas au cours de \"l'acte 3\" des Gilets jaunes. Le samedi 1er décembre, les Champs-Élysées vont se transformer en une véritable \"forteresse \". Les autorités prévoient la mobilisation de 4000 CRS et gendarmes mobiles. Ce sujet a été diffusé dans le journal télévisé de 20H du 29/11/2018 présenté par Gilles Bouleau sur TF1. Vous retrouverez au programme du JT de 20H du 29 novembre 2018 des reportages sur l'actualité politique économique, internationale et culturelle, des analyses et rebonds sur les principaux thèmes du jour, des sujets en régions ainsi que des enquêtes sur les sujets qui concernent le quotidien des Français."	""	TF1	11	28	2018
"\"Acte IV\" des gilets jaunes : des violences au boulevard Malesherbes"	JT 20H - Ce samedi 8 décembre, notre journaliste Liseron Boudoul a fait le point sur le déroulement de la mobilisation des gilets jaunes du côté du boulevard Malesherbes.  De petits groupes de 40 à 60 gilets jaunes ont investi les quartiers aux alentours du boulevard Malesherbes. Parmi eux figuraient de nombreux casseurs qui ont vandalisé de nombreuses infrastructures. Les forces de l'ordre ont réagi avec des grenades lacrymogènes et des canons à eau. Ces manifestants ont pour but d'épuiser les policiers par de petites actions sporadiques. Ce sujet a été diffusé dans le journal télévisé de 20H du 08/12/2018 présenté par Anne-Claire Coudray sur TF1. Vous retrouverez au programme du JT de 20H du 8 décembre 2018 des reportages sur l'actualité politique économique, internationale et culturelle, des analyses et rebonds sur les principaux thèmes du jour, des sujets en régions ainsi que des enquêtes sur les sujets qui concernent le quotidien des Français.	""	TF1	12	8	2018
"\"Amsterdam\" de Jacques Brel, l’histoire d’un succès"	"Jacques Brel est décédé il y a 40 ans à Bobigny (Seine-Saint-Denis). L’occasion de revenir sur son classique parmi les classiques \"Amsterdam\".Le 16 octobre 1964, Jacques Brel, au sommet de sa gloire, fait salle comble à l’Olympia (Paris). Le troisième morceau est un inédit : Amsterdam. Son batteur, Philippe Combelle, était avec lui ce soir-là. Il se souvient : “Et là, la salle est debout. À la fin, la folie. Sur le plan émotionnel, ça a été énorme.” L’ovation est incroyable. Elle est filmée et retransmise en direct à la radio. “Il vous faisait vivre la chanson” Biographe de Jacques Brel, Jacques Vassal n’avait pas eu de place pour le concert. À côté de son transistor, il est subjugué. “Ça respirait fort et on croyait le voir alors que ce n’était pas la télé, on l’entendait seulement (…) Il en faisait trop dirait-on. Mais il en faisait tellement qu’il vous faisait vivre la chanson.” Jacques Brel avait composé ce titre dans le sud de la France, à partir d’une vieille mélodie anglaise. Il l’avait ensuite proposé à ses musiciens. La chanson ne fût jamais enregistrée en studio et des années plus tard, l’artiste belge était toujours gêné par ce succès qui éclipsait les autres."	Philippe Denis	France 3	10	9	2018
"\"Aquarius\" : ces migrants qui vivent en France"	"L'\"Aquarius\" a sauvé près de 30 000 personnes en un peu plus de deux ans.L'\"Aquarius\" est devenu le symbole de la crise migratoire en Europe. En juin dernier, le bateau est interdit d'accoster en Italie. Après des jours d'errance, l'Espagne accepte de l'accueillir et la France sélectionne alors 80 migrants. France 2 a retrouvé quelques-uns d'entre eux dans un restaurant de Lille, dans le Nord. Depuis septembre dernier, Abdel, mécanicien au Soudan, travaille à la plonge. Cela lui permet de communiquer avec d'autres personnes et d'apprendre le français plus rapidement. Le patron de l'établissement se félicite de ce recrutement. Au cours d'une leçon de français, tous se disent reconnaissants envers leur pays d'accueil. L'\"Aquarius\" ne sauvera plus de migrants en Méditerranée Sans soutien de l'Europe et avec la pression du nouveau gouvernement italien, l'\"Aquarius\" est bloqué à Marseille (Bouches-du-Rhône) et ne naviguera plus pour sauver des migrants. Désormais, il ne reste plus que les gardes-côtes libyens pour les sauver et ils les raccompagnent systématiquement en Libye."	Elsa Pallot	France 2	12	18	2018
"\"Aquarius\" : l'Europe face au dossier des migrants"	"La question devient de plus en plus politique. Où et comment accueillir les migrants de l'\"Aquarius\" ? Sète (Hérault) et la Corse se sont portés candidats pour recevoir le bateau humanitaire. Notre journaliste Patricia Issa-de-Grandi, en duplex depuis l'Elysée, fait le point sur la situation.Le bateau humanitaire Aquarius, avec à son bord 141 migrants, se trouve toujours en pleine mer méditerranée. Il cherche un port d'acceuil. \"L'Élysée s'est montrée ferme sur le sujet. Le président suit le dossier avec attention, en lien avec ses partenaires européens, pour tenter de trouver une solution d'urgence\", explique notre journaliste Patrica Issa-de-Grandi, en duplex devant le palais de l'Elysée. \"La France a déjà fait preuve de solidarité\" L'exécutif a rappelé trois principes, qui doivent s'appliquer à l'Aquarius. \"Le principe de secours du port le plus proche doit s'appliquer. Ce serait donc à Malte ou à l'Italie d'accueillir le bateau. Il faudrait favoriser une solution européenne concrète et concertée. La France a déjà fait preuve de solidarité en accueillant 78 migrants débarqués de l'Aquarius en juin dernier\", précise notre journaliste. Malte et l'Italie refusent d'accueillir le bateau. En France, la Corse et le port de Sète (Hérault) se sont portés volontaires pour accueillir le bateau humanitaire."	Pierre-Yves Grenu	France 3	8	14	2018
"\"Aquarius\" : la fin d'un long périple"	"450 hommes, 80 femmes, 89 adolescents et 11 enfants sont arrivés à Valence, en Espagne, dimanche 17 juin, à bord de l'Aquarius.C'est la fin d'un long périple entamé il y a une semaine. L'Aquarius a accosté à l'aube dimanche 17 juin dans le port de Valence, en Espagne. Scènes de joie à bord du bateau et émotion sur le quai pour les humanitaires de SOS Méditerranée, propriétaire du bateau. À l'arrivée, les équipes sanitaires embarquent pendant que les migrants remercient leurs sauveteurs une dernière fois, avant de faire leurs premiers pas sur la terre ferme sous les applaudissements des bénévoles qui les attendent. Un sentiment partagé Pour les équipes de sauvetage, les sentiments sont partagés. \"On est tous soulagés d'avoir enfin touché terre dans un port sûr, en Europe, où les gens ont pu descendre et être pris en charge, surtout les cas médicaux. Et puis en même temps le sentiment d'injustice parce qu'on était près de plein de ports sûrs tout au long de notre route, et aujourd'hui on est en Espagne\", explique à France 2 Anthony, sauveteur SOS Méditerranée. Au total, 2 300 policiers, médecins et associatifs ont été mobilisés pour enregistrer les migrants et les accompagner jusqu'à des centres d'hébergement et les hôpitaux."	Elsa Pallot	France 2	6	17	2018
"\"Aquarius\" : les 58 migrants débarqués à Malte"	"Les 58 migrants à bord de l'\"Aquarius\" ont pu enfin débarquer dimanche 30 septembre à Malte. En duplex sur place, le journaliste Alban Mikoczy nous en dit plus.Après une semaine d'attente, les 58 migrants de l'\"Aquarius\" ont pu rejoindre l'Europe dimanche 30 septembre, en débarquant à Malte. Ils prendront chacun des chemins de vie différents. \"Cette nuit qui vient de tomber sur Malte est la première qu'ils passeront sur la terre ferme. On les a vus arriver tout à l'heure avec le bateau de la marine maltaise. Ils avaient l'air fatigués, mais heureux. On compte 18 femmes, 17 mineurs, les 23 autres étant des hommes\", indique le journaliste Alban Mikoczy, en duplex sur place. La France accueillera 18 d'entre eux \"Dans un premier temps, ils ont passé une visite médicale, et sont maintenant sous la responsabilité de la police maltaise pour lancer une procédure très importante, celle de l'immatriculation. Il s'agit de vérifier si oui ou non, les identités correspondent à ce qu'ils disent. Sont-ils, comme ils le disent principalement, libyens ? Souffrent-ils dans leur pays de menaces qui vont les conduire à se diriger vers l'Europe ? Cette étape a lieu actuellement. Ensuite, très rapidement, les migrants vont être dispersés dans les quatre pays qui se sont proposés pour les accueillir : le Portugal, l'Espagne, l'Allemagne et la France, pour 18 d'entre eux. Cette dernière étape interviendra dans les tout prochains jours\", conclut-il."	Elsa Pallot	France 2	9	30	2018
"\"Aquarius\" : que va faire la France ?"	"La France devrait accueillir une partie des migrants embarqués à bord de l'\"Aquarius\", arrivé en Espagne le week-end dernier. Reste à examiner le cas de chacun selon des conditions d'asile précises.Le gouvernement français a promis de prendre sa part en accueillant une partie des migrants arrivés en Espagne à bord de l'Aquarius. En direct de Valence, la journaliste Mélina Huet nous en dit plus sur les conditions d'accueil des réfugiés. Elle explique : \"Pascal Brice, président général de l'Office français de protection des réfugiés et apatridies (Ofpra), est arrivé à Valence et sera rejoint par son équipe dans les prochains jours pour procéder à l'étude des demandes d'asile.\" Examen au cas par cas Il s'agit désormais d'examiner le cas de chacun individuellement pour vérifier que les demandeurs sont bien éligibles. \"Concrètement, ajoute la journaliste, s'ils sont victimes d'un conflit ou craignent des persécutions. On ne sait pas encore combien de personnes seront accueillies en France. Ceux qui seront éligibles à la demande d'asile recevront un titre de protection ouvrant la voie à une carte de séjour. En attendant, les 630 migrants de la flottille de l'Aquarius pourront rester en Espagne. Le pays leur a accordé un permis d'entrée extraordinaire de 45 jours pour raisons humanitaires.\""	Philippe Denis	France 3	6	18	2018
"\"Aquarius\" : tensions diplomatiques entre la France et l'Italie"	"En duplex depuis Mouilleron-Saint-Germain (Vendée), la journaliste Anne Bourse fait le point sur la situation diplomatique entre la France et l'Italie, sous tension depuis l'affaire de l'\"Aquarius\".Le ton n'est pas à l'apaisement entre Paris et Rome (Italie) sur l'affaire de l'\"Aquarius\". Chaque dirigeant campe sur ses positions et sur ses mots. \"Pas de regrets, pas d'excuses, comme l'a demandé un ministre italien après ses propos sur le refus de l'Italie d'accueillir l''Aquarius\". Tout à l'heure, Emmanuel Macron a dénoncé une manipulation de l'émotion et une 'provocation de la part de certains dirigeants italiens, ajoutant 'n'oublions pas qui nous a parlé, nous avons les mêmes chez nous', sous-entendu l'extrême droite\", relate la journaliste Anne Bourse, en duplex depuis Mouilleron-Saint-Germain (Vendée). Crise diplomatique en vue ? \"Même si Emmanuel Macron a rappelé le travail de coopération mené depuis un an entre les deux pays, pas sûr que ces propos soient donc de nature à apaiser. Le ton monte depuis deux jours, à tel point qu'aujourd'hui, l'ambassadeur de France à Rome a été convoqué et que le ministre de l'Économie italien a annulé sa rencontre avec Bruno Le Maire. Le vrai test aura lieu vendredi 15 juin : si Giuseppe Conte, le Premier ministre italien, annulait lui aussi sa venue à l'Élysée, on entrerait alors dans une crise diplomatique\", conclut-elle."	Philippe Denis	France 3	6	13	2018
