title	description	Authors	Source	Publication Month	Publication Day	Publication Year
"\"12 euros par semaine pour manger\" : avec l'inflation, les banques d'aide alimentaire sont débordées"	"D'après une étude, un étudiant sur deux affirme ne pas manger à sa faim. Avec l'inflation, les budgets déjà très serrés ne permettent plus de faire face. Les centres d'aide alimentaire sont inquiets et débordés.  Chaque semaine, la même distribution d'aide alimentaire et chaque semaine, de plus en plus de bénéficiaires. Avant, il fallait se priver de viande, aujourd'hui, même les légumes deviennent hors de portée pour certains étudiants. \"Le marché, ce n'est plus possible. C'est trop cher maintenant. Même là, on se sent pris, on se sent coincé. Des pommes de terre, des pommes, des courgettes, ce n'est pas mirobolant\", explique un étudiant dans la file. Dans la foule, certains étudiants viennent avec leurs enfants. À l'intérieur, un panier repas est donné, contenant des produits frais, bientôt périmés. Ils sont fournis par des supermarchés de grandes marques, mais aussi des producteurs bio et locaux. Près de 200 000 repas ont été distribués le mois dernier, rien qu'en Île-de-France, par l'association Linkee, qui vient de réaliser une vaste étude auprès de ses bénéficiaires. À la faculté des sciences de Jussieu, à Paris, nous rencontrons deux étudiantes qui ont chacune un petit boulot pour subvenir à leurs besoins. Elles ont 70 euros tous les mois pour se nourrir. \"C'est très compliqué, mais on essaye de s'autosuffire\", explique l'une d'elles. \"Pâtes, riz, sauce, ça s'arrête là. Plus quelques condiments, c'est tout. Et je ne trouve pas ça normal de trimer deux fois plus à cet âge-là, alors qu'on a des études à côté\", détaille cette jeune femme."	""	TF1	12	12	2022
"\"Adieu Paris\" : Baer, Poelvorde, Damiens, Arditi et les autres dans une causerie tendre et cruelle sur le temps qui passe"	"\"Adieu Paris\", le dernier film d'Édouard Baer, sort au cinéma mercredi 26 janvier. Une comédie au casting de forts tempéraments, pleine de nostalgie.Dans Adieu Paris, Benoît Poelvoorde se croyait le bienvenu à un rendez-vous annuel d'artistes parisiens un peu has been. C'est la douche froide, et le point de départ d'une comédie qui met en lumière le Paris des bistrots. \"Je suis beaucoup dans l'admiration des gens de la génération d'avant\", explique le réalisateur Édouard Baer. Ambiance festive Il a donc réuni des acteurs qu'il admire : Pierre Arditi, Bernard Lecoq, Daniel Prévost. Un club très masculin, inspiré des années showbiz quand Belmondo, Rochefort et Marielle passaient leurs soirées bras dessus, bras dessous. L'ambiance fantasque a été recréée par Édouard Baer, derrière la caméra pour la troisième fois de sa carrière. \"Il a vraiment un plaisir à partager une joie, une peur, une émotion\", souligne Benoît Poelvoorde. Avec cette farce sur le temps qui passe, Édouard Baer arrive une nouvelle fois à nous faire rire."	Philippe Denis	France 3	1	23	2022
"\"Allo la France\" : la pénurie de carburant met-elle les Français en colère ?"	"Les pénuries de carburants touchent, vendredi 14 octobre, près de deux Français sur trois. Comme chaque vendredi, le journaliste Adrien Rohard interroge les principaux concernés.Que pensent les Français des pénuries de carburants ? Rencontre, vendredi 14 octobre, avec Joannie, agent immobilier à Marseille (Bouches-du-Rhône), Mehdi, étudiant en science politique à Lille (Nord), qui milite pour qu’Edouard Philippe devienne président et enfin Étienne, agriculteur dans la Sarthe. \"J'ai la chance de vivre à la campagne, et globalement on arrive à faire le plein de nos voitures assez régulièrement\", observe ce dernier. Joannie déplore quant à elle \"qu'on laisse gonfler une bulle, et [qu']on attend[e] qu'elle éclate\". Enfin, Mehdi se dit quant à lui \"plutôt inquiet du manque d'écoute (…) de la population\". Des conséquences à plus long terme Selon l’étude \"Fractures Françaises\" réalisée par IPSOS, la fondation Jean Jaurès et le CEVIPOF, 36% des Français disent appartenir à une France très en colère et contestataire, et 58% à une France mécontente. Les Français rencontrés par France Télévisions suivront-ils l'appel des syndicats à faire grève, mardi 18 octobre ? Hors de question pour Joannie, qui la juge \"inutile\". Etienne se projette lui à plus long terme, et craint une pénurie de pain pour l’été 2023. Mehdi s'inquiète quant à lui de la raréfaction des étudiants dans les amphithéâtres, à cause de la pénurie ou du prix du carburant."	""	France 3	10	14	2022
"\"Argent gâché\", \"écosystème menacé\"... Une déviation sème la discorde depuis 40 ans en Dordogne"	"En Dordogne, la construction d'une déviation est source d'une querelle qui dure depuis 40 ans. Celle-ci doit permettre aux automobilistes d'éviter le centre de Beynac. Mais pour certains, ce contournement constitue avant tout une menace pour l'écosystème.  Au beau milieu de la Dordogne, pont et échafaudages provisoires, un chantier figé depuis déjà quatre ans. La source d'une querelle vieille de 40 ans. \"C'est agaçant car c'est l'argent du contribuable. Alors faut-il finir ou pas les travaux ? Tout ce que je peux vous dire : c'est ras-le-bol\", s'exaspère un habitant dans la vidéo en tête d'article. \"C'est vraiment de l'argent gâché, ce n'est pas normal\", abonde une passante. Ce contournement permettrait aux voitures et poids lourds d'éviter le centre de Beynac et les falaises avoisinantes, via deux ponts sur la Dordogne. Le problème, c'est que les détracteurs voient dans le projet estimé à 40 millions d'euros, une menace pour l'environnement. Dernier rebondissement : malgré les 26 millions d'euros déjà engagés, en juillet dernier, le tribunal a exigé la destruction des ouvrages, sous peine d'une sanction de 3000 euros par jour de retard. Pas de quoi convaincre le département. \"Si on devait pendant quelques mois payer une astreinte, par rapport aux sommes déjà engagée, cette astreinte est minime donc il faut que nous continuions pour mettre toutes les chances de notre côté\", soutient Benoît Secresta, vice-président chargé de l'attractivité économique et de l'emploi au conseil départemental de la Dordogne."	""	TF1	11	1	2022
"\"Avec grands regrets, il y a 500 km !\" : le pénible trajet en voiture des voyageurs privés de train"	"Pour ceux qui n'ont pas pu prendre le train, l'alternative est évidemment la route. En voiture, en bus ou en covoiturage... les voyageurs n'avaient pas vraiment le choix. Résultat : un vendredi classé rouge dans le sens des départs en Île-de-France.  Sur l'autoroute à la sortie de Paris ce matin, la circulation se densifie. Parmi les automobilistes, certains avaient prévu de prendre le train. Comme cette famille, leur TGV a été annulé. Ils rejoignent donc Nantes (Loire-Atlantique) en voiture. \"Avec grands regrets, il y a 500 km !\", se désespère un voyageur dans la vidéo en tête de cet article. Beaucoup ont, quant à eux, choisi de prendre le bus. À la gare routière de Paris-Bercy ce vendredi matin, les voyageurs sont tous là pour la même raison : un problème de train. \"Je suis ici parce que mon train a été supprimé, donc je prends un bus à la place. Je vais mettre trois à quatre heures\", rapporte une d’entre eux. \"C’était la galère de dernière minute\", ajoute une autre. Au total, 180 bus partiront de cette gare ce vendredi. La plupart sont complets. Et comme les trains, ils se font parfois désirer. Les voyageurs espèrent qu'il va arriver comme cette dame. En Île-de-France, la circulation est classée rouge dans le sens des départs. En bus comme en voiture, un pic d'embouteillage est attendu cet après-midi."	""	TF1	12	23	2022
"\"Bloody Sunday\" : 50 ans après, un traumatisme du passé toujours aussi présent"	"C’est un traumatisme du passé toujours aussi présent. Dimanche 30 janvier, un hommage est rendu aux victimes du Bloody Sunday, le dimanche sanglant, dans le quartier nationaliste de Derry (Irlande du Nord). Ici même il y a un demi-siècle, des manifestants catholiques, partisans de l’unification des deux Irlande, ont subi les tirs des soldats britanniques. Quatorze personnes ont été tuées, et la douleur est toujours vive, même chez les plus jeunes. L’Irlande du Nord reste meurtrie par seize années de violence Jusqu’en 1998, le conflit avec les protestants, attachés à l’appartenance au Royaume-Uni, a provoqué la mort de 3 700 personnes dans les ceux camps, dont de nombreux innocents, qui n’ont pas toujours été reconnus ainsi. La réconciliation butte sur un sentiment d’injustice. Malgré le retentissement mondial du Bloody Sunday chanté par U2, les familles n’acceptent pas qu’aucun procès n’ait été organisé en 50 ans. \"Sans justice, les excuses ne valent rien\", déclare Jimmy Duddy, neveu de John Johnstone, victime du Bloody Sunday. L’Irlande du Nord reste meurtrie par seize années de violence et par les tensions."	Elsa Pallot	France 2	1	30	2022
"\"Ce ne sont pas des commerces\" : les municipalités en guerre contre les \"dark stores\""	"Alors que 10% des Français disent faire leurs courses en ligne, les grandes villes sont confrontées aux \"dark stores\". Ces magasins fantômes servent de base d'approvisionnement aux livreurs de plateformes numériques. Mais certains sont vus d'un mauvais œil, notamment à Paris, car ils ne respecteraient pas les règles d'urbanisme.  Avoir ses courses livrées à domicile en quelques minutes, c'est la promesse des nouveaux acteurs de la livraison rapide. Leur secret, ce sont les \"dark stores\", ou magasins fantômes : des mini-entrepôts de produits alimentaires, sans devanture et surtout sans clients. Ils sont installés un peu partout dans les grandes villes, c'est là que les livreurs se ravitaillent. Dans la capitale, ils sont une cinquantaine, mais la mairie de Paris voient d'un mauvais œil ces enseignes qui remplacent parfois des commerces de proximité. \"Le genre de situation que nous surveillons, c'est lorsqu'un commerce ferme, si des investisseurs veulent créer un 'dark store' et mettent beaucoup plus d'argent sur la table, le propriétaire peut être tenté de le louer. À la fin, les vitres seront opacifiées et il n'y aura plus de magasin\", s'inquiète le premier adjoint PS Emmanuel Grégoire, dans la vidéo du JT de 20H de TF1 en tête de cet article. Depuis quelques mois, dans la capitale, 60 \"dark stores\" ont été recensés par les services de l'urbanisme de la mairie et 45 \"créés illégalement\" ont été forcés de fermer. L'utilisation illicite de commerce transformé en entrepôt pour stocker la marchandise en est la cause. \"Ce ne sont pas des commerces. Le principe d'un commerce, c'est définit par la loi : c'est un lieu dans lequel des clients viennent chercher leurs courses. Sur le plan juridique, ce sont des entrepôts. C'est préjudiciable à la vie de nos quartiers parce qu'un jour les commerces vont fermer et donc on verra des rues de plus en plus vides\", ajoute Emmanuel Grégoire. Et de préciser : \"ils auraient dû demander une autorisation, voire un permis de construire dans certains cas, et ils ne l'ont pas fait, ce qui est une infraction au code de l'urbanisme\". En moyenne, les Français dépensent 23 euros pour leurs courses d'appoint au quotidien. Des courses, livrées à vélo ou en scooter, mais en plein cœur de ville, comme à Lyon, les riverains ne supportent plus le va-et-vient des livreurs sous leurs fenêtres. \"Parfois, il y a au moins 50 scooters le soir, c'est insupportable\", s'insurge l'un d'eux. Du côté de la mairie, on explique que \"les horaires d'ouverture sont très larges, de 7 h du matin à minuit ou 2 h selon les modèles\". Sans parler \"des livreurs qui attendent dehors le soir et discutent entre eux, ce qui peut faire du bruit\", avance Camille Augey, adjoint EELV, déléguée à l'emploi et à l'économie durable."	""	TF1	6	20	2022
"\"Compagnons\" : quand un film pénètre une communauté ancestrale d'artisans"	"Mercredi 23 février sort le film \"Compagnons\", du réalisateur François Favras : l’histoire d’une jeune fille en difficulté qui, en rencontrant la responsable d’un chantier de réinsertion, va découvrir l’univers des compagnons du devoir, des artisans exigeants et passionnés.Naëlle ne se voit pas d’avenir. Sa cité est un piège qui régit son quotidien. C’est le choc des cultures lorsqu’elle visite avec d’autres jeunes de son quartier la maison des compagnons, et découvre le travail manuel d’excellence. \"Pour moi c’est l’objet du film, de redonner les lettres de noblesse au travail manuel, montrer à des jeunes à quel point c’est des ouvertures réelles sur un avenir\", explique le réalisateur, François Favras. Des valeurs de fraternité et d’entraide Une main tendue qui change radicalement la vie de Naëlle. Chez un maître-verrier, elle apprend un métier, mais pas seulement. Être compagnon, c’est pénétrer une communauté ancestrale, fondée sur des valeurs de fraternité et d’entraide. Les compagnons ont bâti les cathédrales, à travers les siècles ils se sont transmis leur savoir-faire, tours de France et rites immuables, sur lesquels le cinéma s’est rarement penché. Un monde qui continue à susciter des vocations dans une société pourtant de plus en plus virtuelle."	Philippe Denis	France 3	2	20	2022
"\"C’est trompeur !\" : toutes les promotions affichées du Black Friday sont-elles réelles ?"	"Moins 40%, moins 70%.... Les promotions du Black Friday sont alléchantes. Mais il arrive parfois que les prix de référence soient gonflés juste avant le jour J. Peut-on vraiment faire de bonnes affaires ? Le 20H de TF1 s'est posé la question.  Avec les cortèges de SMS, mails et publicités diverses, impossible de rater le Black Friday. Moins 40%, jusqu’à moins 50%... S’agit-il vraiment de bonnes affaires ? Une cliente, suivie par le 20H de TF1, a repéré une promotion de moins 30% sur le site Internet d’une parfumerie. Dans un magasin de chaussures visité par notre équipe, les prix barrés qui servent normalement à calculer la réduction sont carrément absents. Il est donc impossible de savoir si le prix est vraiment intéressant. Ces dernières années, des enseignes ont même été accusées de gonfler leurs prix quelques jours avant le Black Friday, quand les clients repèrent les produits dans l'attente du jour J, pour afficher ensuite une promotion alléchante. Par exemple, une paire de chaussures vendue à 70 euros passait à 100 euros quelques jours avant le Black Friday et était proposée à nouveau à 70 euros le jour J, avec une décote affichée de 30%. Depuis cette année, ces pratiques sont considérées comme de la fraude. Mais toutes les marques ne jouent pas le jeu. \"C’était sur une robe. Je me suis rendue compte que pendant le Black Friday, c’étaient les mêmes prix qu’auparavant. Le prix de référence avait été augmenté et les prix soldés étaient juste identiques à ceux avant la démarque\", raconte ainsi une jeune femme. Mais il est tout de même possible de faire de bonnes affaires sur les vêtements, ou encore sur la technologie. \"Ce téléviseur, traditionnellement, se vend 3000 euros, et actuellement, il y a 500 euros de remise\", montre le responsable d’un magasin, dans le reportage en tête de cet article. Les fabricants de télévision, par exemple, ont tout intérêt à proposer de véritables remises."	""	TF1	11	26	2022
"\"Elle est là-haut depuis mi-juillet\" : Yvette, 94 ans, est bloquée chez elle à cause d'une panne d'ascenseur"	"Yvette, nonagénaire de l'Hérault, se retrouve coincée dans son appartement depuis deux mois et demi à cause d'une pièce manquante pour réparer l'ascenseur. Une équipe de TF1 l'a rencontrée avec sa petite-fille.  Impossible de sortir de chez elle. Yvette, 94 ans, est bloquée depuis plus de deux mois au deuxième étage de son immeuble de Mudaison, dans l'Hérault. Un bâtiment flambant neuf, mais dont l'ascenseur ne fonctionne plus à cause d'une panne. \"Depuis mi-juillet, elle est là-haut, sans pouvoir se déplacer, sans pouvoir descendre, chercher son courrier et faire sa petite promenade\", témoigne sa petite-fille dans la vidéo de TF1 ci-dessus. Tous les jours, cette dernière monte les 40 marches qui privent Yvette de sa liberté. La mamie autrefois très active avait pourtant savouré son entrée dans les lieux. \"C'était tout neuf, c'était agréable, pour elle c'était le top, jusqu'à ça...\", poursuit sa petite-fille, qui s'inquiète des \"répercussions psychologiques que ça peut engendrer\". Pour le réparer, il suffit pourtant de changer une carte électronique défectueuse dans l'appareil. Mais pour le bailleur, il est impossible d'intervenir rapidement. \"Ça met longtemps à cause de cette pénurie de composants électroniques, explique-t-il à l'équipe de TF1 : alors qu'avant, il suffisait de quelques jours pour avoir la pièce, maintenant c'est quelques semaines, voire quelques mois\". Ils espèrent pouvoir réparer l'ascenseur avant la fin de la semaine."	""	TF1	9	28	2022
